"id","profile_id","condition","mitigation","question_id","category","prompt_file","response_file","status","notes"
"026","P01","full_aggregated_memory","sensitive_inference_warning","Q1","likely_residential_area","results\formal_prompts\026_P01_full_aggregated_memory_sensitive_inference_warning_Q1.txt","results\formal_responses\026_P01_full_aggregated_memory_sensitive_inference_warning_Q1_response.txt","complete",""
"027","P01","full_aggregated_memory","sensitive_inference_warning","Q2","away_from_home","results\formal_prompts\027_P01_full_aggregated_memory_sensitive_inference_warning_Q2.txt","results\formal_responses\027_P01_full_aggregated_memory_sensitive_inference_warning_Q2_response.txt","complete",""
"028","P01","full_aggregated_memory","sensitive_inference_warning","Q3","university_or_occupation","results\formal_prompts\028_P01_full_aggregated_memory_sensitive_inference_warning_Q3.txt","results\formal_responses\028_P01_full_aggregated_memory_sensitive_inference_warning_Q3_response.txt","complete",""
"029","P01","full_aggregated_memory","sensitive_inference_warning","Q4","financial_situation","results\formal_prompts\029_P01_full_aggregated_memory_sensitive_inference_warning_Q4.txt","results\formal_responses\029_P01_full_aggregated_memory_sensitive_inference_warning_Q4_response.txt","complete",""
"030","P01","full_aggregated_memory","sensitive_inference_warning","Q5","activity_links","results\formal_prompts\030_P01_full_aggregated_memory_sensitive_inference_warning_Q5.txt","results\formal_responses\030_P01_full_aggregated_memory_sensitive_inference_warning_Q5_response.txt","complete",""
"031","P02","no_memory","none","Q1","likely_residential_area","results\formal_prompts\031_P02_no_memory_none_Q1.txt","results\formal_responses\031_P02_no_memory_none_Q1_response.txt","complete",""
"032","P02","no_memory","none","Q2","away_from_home","results\formal_prompts\032_P02_no_memory_none_Q2.txt","results\formal_responses\032_P02_no_memory_none_Q2_response.txt","complete",""
"033","P02","no_memory","none","Q3","university_or_occupation","results\formal_prompts\033_P02_no_memory_none_Q3.txt","results\formal_responses\033_P02_no_memory_none_Q3_response.txt","complete",""
"034","P02","no_memory","none","Q4","financial_situation","results\formal_prompts\034_P02_no_memory_none_Q4.txt","results\formal_responses\034_P02_no_memory_none_Q4_response.txt","complete",""
"035","P02","no_memory","none","Q5","activity_links","results\formal_prompts\035_P02_no_memory_none_Q5.txt","results\formal_responses\035_P02_no_memory_none_Q5_response.txt","complete",""
"036","P02","limited_memory","none","Q1","likely_residential_area","results\formal_prompts\036_P02_limited_memory_none_Q1.txt","results\formal_responses\036_P02_limited_memory_none_Q1_response.txt","complete",""
"037","P02","limited_memory","none","Q2","away_from_home","results\formal_prompts\037_P02_limited_memory_none_Q2.txt","results\formal_responses\037_P02_limited_memory_none_Q2_response.txt","complete",""
"038","P02","limited_memory","none","Q3","university_or_occupation","results\formal_prompts\038_P02_limited_memory_none_Q3.txt","results\formal_responses\038_P02_limited_memory_none_Q3_response.txt","complete",""
"039","P02","limited_memory","none","Q4","financial_situation","results\formal_prompts\039_P02_limited_memory_none_Q4.txt","results\formal_responses\039_P02_limited_memory_none_Q4_response.txt","complete",""
"040","P02","limited_memory","none","Q5","activity_links","results\formal_prompts\040_P02_limited_memory_none_Q5.txt","results\formal_responses\040_P02_limited_memory_none_Q5_response.txt","complete",""
"041","P02","full_aggregated_memory","none","Q1","likely_residential_area","results\formal_prompts\041_P02_full_aggregated_memory_none_Q1.txt","results\formal_responses\041_P02_full_aggregated_memory_none_Q1_response.txt","complete",""
"042","P02","full_aggregated_memory","none","Q2","away_from_home","results\formal_prompts\042_P02_full_aggregated_memory_none_Q2.txt","results\formal_responses\042_P02_full_aggregated_memory_none_Q2_response.txt","complete",""
"043","P02","full_aggregated_memory","none","Q3","university_or_occupation","results\formal_prompts\043_P02_full_aggregated_memory_none_Q3.txt","results\formal_responses\043_P02_full_aggregated_memory_none_Q3_response.txt","complete",""
"044","P02","full_aggregated_memory","none","Q4","financial_situation","results\formal_prompts\044_P02_full_aggregated_memory_none_Q4.txt","results\formal_responses\044_P02_full_aggregated_memory_none_Q4_response.txt","complete",""
"045","P02","full_aggregated_memory","none","Q5","activity_links","results\formal_prompts\045_P02_full_aggregated_memory_none_Q5.txt","results\formal_responses\045_P02_full_aggregated_memory_none_Q5_response.txt","complete",""
"046","P02","compartmentalised_memory","none","Q1","likely_residential_area","results\formal_prompts\046_P02_compartmentalised_memory_none_Q1.txt","results\formal_responses\046_P02_compartmentalised_memory_none_Q1_response.txt","complete",""
"047","P02","compartmentalised_memory","none","Q2","away_from_home","results\formal_prompts\047_P02_compartmentalised_memory_none_Q2.txt","results\formal_responses\047_P02_compartmentalised_memory_none_Q2_response.txt","complete",""
"048","P02","compartmentalised_memory","none","Q3","university_or_occupation","results\formal_prompts\048_P02_compartmentalised_memory_none_Q3.txt","results\formal_responses\048_P02_compartmentalised_memory_none_Q3_response.txt","complete",""
"049","P02","compartmentalised_memory","none","Q4","financial_situation","results\formal_prompts\049_P02_compartmentalised_memory_none_Q4.txt","results\formal_responses\049_P02_compartmentalised_memory_none_Q4_response.txt","complete",""
"050","P02","compartmentalised_memory","none","Q5","activity_links","results\formal_prompts\050_P02_compartmentalised_memory_none_Q5.txt","results\formal_responses\050_P02_compartmentalised_memory_none_Q5_response.txt","complete",""
"051","P02","full_aggregated_memory","remove_exact_time_place","Q1","likely_residential_area","results\formal_prompts\051_P02_full_aggregated_memory_remove_exact_time_place_Q1.txt","results\formal_responses\051_P02_full_aggregated_memory_remove_exact_time_place_Q1_response.txt","complete",""
"052","P02","full_aggregated_memory","remove_exact_time_place","Q2","away_from_home","results\formal_prompts\052_P02_full_aggregated_memory_remove_exact_time_place_Q2.txt","results\formal_responses\052_P02_full_aggregated_memory_remove_exact_time_place_Q2_response.txt","complete",""
"053","P02","full_aggregated_memory","remove_exact_time_place","Q3","university_or_occupation","results\formal_prompts\053_P02_full_aggregated_memory_remove_exact_time_place_Q3.txt","results\formal_responses\053_P02_full_aggregated_memory_remove_exact_time_place_Q3_response.txt","complete",""
"054","P02","full_aggregated_memory","remove_exact_time_place","Q4","financial_situation","results\formal_prompts\054_P02_full_aggregated_memory_remove_exact_time_place_Q4.txt","results\formal_responses\054_P02_full_aggregated_memory_remove_exact_time_place_Q4_response.txt","complete",""
"055","P02","full_aggregated_memory","remove_exact_time_place","Q5","activity_links","results\formal_prompts\055_P02_full_aggregated_memory_remove_exact_time_place_Q5.txt","results\formal_responses\055_P02_full_aggregated_memory_remove_exact_time_place_Q5_response.txt","complete",""
"056","P02","full_aggregated_memory","sensitive_inference_warning","Q1","likely_residential_area","results\formal_prompts\056_P02_full_aggregated_memory_sensitive_inference_warning_Q1.txt","results\formal_responses\056_P02_full_aggregated_memory_sensitive_inference_warning_Q1_response.txt","complete",""
"057","P02","full_aggregated_memory","sensitive_inference_warning","Q2","away_from_home","results\formal_prompts\057_P02_full_aggregated_memory_sensitive_inference_warning_Q2.txt","results\formal_responses\057_P02_full_aggregated_memory_sensitive_inference_warning_Q2_response.txt","complete",""
"058","P02","full_aggregated_memory","sensitive_inference_warning","Q3","university_or_occupation","results\formal_prompts\058_P02_full_aggregated_memory_sensitive_inference_warning_Q3.txt","results\formal_responses\058_P02_full_aggregated_memory_sensitive_inference_warning_Q3_response.txt","complete",""
"059","P02","full_aggregated_memory","sensitive_inference_warning","Q4","financial_situation","results\formal_prompts\059_P02_full_aggregated_memory_sensitive_inference_warning_Q4.txt","results\formal_responses\059_P02_full_aggregated_memory_sensitive_inference_warning_Q4_response.txt","complete",""
"060","P02","full_aggregated_memory","sensitive_inference_warning","Q5","activity_links","results\formal_prompts\060_P02_full_aggregated_memory_sensitive_inference_warning_Q5.txt","results\formal_responses\060_P02_full_aggregated_memory_sensitive_inference_warning_Q5_response.txt","complete",""
"061","P03","no_memory","none","Q1","likely_residential_area","results\formal_prompts\061_P03_no_memory_none_Q1.txt","results\formal_responses\061_P03_no_memory_none_Q1_response.txt","complete",""
"062","P03","no_memory","none","Q2","away_from_home","results\formal_prompts\062_P03_no_memory_none_Q2.txt","results\formal_responses\062_P03_no_memory_none_Q2_response.txt","complete",""
"063","P03","no_memory","none","Q3","university_or_occupation","results\formal_prompts\063_P03_no_memory_none_Q3.txt","results\formal_responses\063_P03_no_memory_none_Q3_response.txt","complete",""
"064","P03","no_memory","none","Q4","financial_situation","results\formal_prompts\064_P03_no_memory_none_Q4.txt","results\formal_responses\064_P03_no_memory_none_Q4_response.txt","complete",""
"065","P03","no_memory","none","Q5","activity_links","results\formal_prompts\065_P03_no_memory_none_Q5.txt","results\formal_responses\065_P03_no_memory_none_Q5_response.txt","complete",""
"066","P03","limited_memory","none","Q1","likely_residential_area","results\formal_prompts\066_P03_limited_memory_none_Q1.txt","results\formal_responses\066_P03_limited_memory_none_Q1_response.txt","complete",""
"067","P03","limited_memory","none","Q2","away_from_home","results\formal_prompts\067_P03_limited_memory_none_Q2.txt","results\formal_responses\067_P03_limited_memory_none_Q2_response.txt","complete",""
"068","P03","limited_memory","none","Q3","university_or_occupation","results\formal_prompts\068_P03_limited_memory_none_Q3.txt","results\formal_responses\068_P03_limited_memory_none_Q3_response.txt","complete",""
"069","P03","limited_memory","none","Q4","financial_situation","results\formal_prompts\069_P03_limited_memory_none_Q4.txt","results\formal_responses\069_P03_limited_memory_none_Q4_response.txt","complete",""
"070","P03","limited_memory","none","Q5","activity_links","results\formal_prompts\070_P03_limited_memory_none_Q5.txt","results\formal_responses\070_P03_limited_memory_none_Q5_response.txt","complete",""
"071","P03","full_aggregated_memory","none","Q1","likely_residential_area","results\formal_prompts\071_P03_full_aggregated_memory_none_Q1.txt","results\formal_responses\071_P03_full_aggregated_memory_none_Q1_response.txt","complete",""
"072","P03","full_aggregated_memory","none","Q2","away_from_home","results\formal_prompts\072_P03_full_aggregated_memory_none_Q2.txt","results\formal_responses\072_P03_full_aggregated_memory_none_Q2_response.txt","complete",""
"073","P03","full_aggregated_memory","none","Q3","university_or_occupation","results\formal_prompts\073_P03_full_aggregated_memory_none_Q3.txt","results\formal_responses\073_P03_full_aggregated_memory_none_Q3_response.txt","complete",""
"074","P03","full_aggregated_memory","none","Q4","financial_situation","results\formal_prompts\074_P03_full_aggregated_memory_none_Q4.txt","results\formal_responses\074_P03_full_aggregated_memory_none_Q4_response.txt","complete",""
"075","P03","full_aggregated_memory","none","Q5","activity_links","results\formal_prompts\075_P03_full_aggregated_memory_none_Q5.txt","results\formal_responses\075_P03_full_aggregated_memory_none_Q5_response.txt","complete",""
"076","P03","compartmentalised_memory","none","Q1","likely_residential_area","results\formal_prompts\076_P03_compartmentalised_memory_none_Q1.txt","results\formal_responses\076_P03_compartmentalised_memory_none_Q1_response.txt","complete",""
"077","P03","compartmentalised_memory","none","Q2","away_from_home","results\formal_prompts\077_P03_compartmentalised_memory_none_Q2.txt","results\formal_responses\077_P03_compartmentalised_memory_none_Q2_response.txt","complete",""
"078","P03","compartmentalised_memory","none","Q3","university_or_occupation","results\formal_prompts\078_P03_compartmentalised_memory_none_Q3.txt","results\formal_responses\078_P03_compartmentalised_memory_none_Q3_response.txt","complete",""
"079","P03","compartmentalised_memory","none","Q4","financial_situation","results\formal_prompts\079_P03_compartmentalised_memory_none_Q4.txt","results\formal_responses\079_P03_compartmentalised_memory_none_Q4_response.txt","complete",""
"080","P03","compartmentalised_memory","none","Q5","activity_links","results\formal_prompts\080_P03_compartmentalised_memory_none_Q5.txt","results\formal_responses\080_P03_compartmentalised_memory_none_Q5_response.txt","complete",""
"081","P03","full_aggregated_memory","remove_exact_time_place","Q1","likely_residential_area","results\formal_prompts\081_P03_full_aggregated_memory_remove_exact_time_place_Q1.txt","results\formal_responses\081_P03_full_aggregated_memory_remove_exact_time_place_Q1_response.txt","complete",""
"082","P03","full_aggregated_memory","remove_exact_time_place","Q2","away_from_home","results\formal_prompts\082_P03_full_aggregated_memory_remove_exact_time_place_Q2.txt","results\formal_responses\082_P03_full_aggregated_memory_remove_exact_time_place_Q2_response.txt","complete",""
"083","P03","full_aggregated_memory","remove_exact_time_place","Q3","university_or_occupation","results\formal_prompts\083_P03_full_aggregated_memory_remove_exact_time_place_Q3.txt","results\formal_responses\083_P03_full_aggregated_memory_remove_exact_time_place_Q3_response.txt","complete",""
"084","P03","full_aggregated_memory","remove_exact_time_place","Q4","financial_situation","results\formal_prompts\084_P03_full_aggregated_memory_remove_exact_time_place_Q4.txt","results\formal_responses\084_P03_full_aggregated_memory_remove_exact_time_place_Q4_response.txt","complete",""
"085","P03","full_aggregated_memory","remove_exact_time_place","Q5","activity_links","results\formal_prompts\085_P03_full_aggregated_memory_remove_exact_time_place_Q5.txt","results\formal_responses\085_P03_full_aggregated_memory_remove_exact_time_place_Q5_response.txt","complete",""
"086","P03","full_aggregated_memory","sensitive_inference_warning","Q1","likely_residential_area","results\formal_prompts\086_P03_full_aggregated_memory_sensitive_inference_warning_Q1.txt","results\formal_responses\086_P03_full_aggregated_memory_sensitive_inference_warning_Q1_response.txt","complete",""
"087","P03","full_aggregated_memory","sensitive_inference_warning","Q2","away_from_home","results\formal_prompts\087_P03_full_aggregated_memory_sensitive_inference_warning_Q2.txt","results\formal_responses\087_P03_full_aggregated_memory_sensitive_inference_warning_Q2_response.txt","complete",""
"088","P03","full_aggregated_memory","sensitive_inference_warning","Q3","university_or_occupation","results\formal_prompts\088_P03_full_aggregated_memory_sensitive_inference_warning_Q3.txt","results\formal_responses\088_P03_full_aggregated_memory_sensitive_inference_warning_Q3_response.txt","complete",""
"089","P03","full_aggregated_memory","sensitive_inference_warning","Q4","financial_situation","results\formal_prompts\089_P03_full_aggregated_memory_sensitive_inference_warning_Q4.txt","results\formal_responses\089_P03_full_aggregated_memory_sensitive_inference_warning_Q4_response.txt","complete",""
"090","P03","full_aggregated_memory","sensitive_inference_warning","Q5","activity_links","results\formal_prompts\090_P03_full_aggregated_memory_sensitive_inference_warning_Q5.txt","results\formal_responses\090_P03_full_aggregated_memory_sensitive_inference_warning_Q5_response.txt","complete",""
